epoch,model_ppl,model_acc,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path_x,epsilon,delta,alpha,model_path_y
0,50434.7282047,0.0,0.576,0.516,0.564,0.552,1000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-50434.7282047_acc-0.00000_epoch-0,0.15,8e-05,63.0,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-50434.7282047_acc-0.00000_epoch-0
1,606.0323617,0.22857,0.316,0.5,0.548,0.312,1000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-606.0323617_acc-0.22857_epoch-1,34.58,8e-05,1.4,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-606.0323617_acc-0.22857_epoch-1
2,655.134927,0.24,0.322,0.496,0.548,0.31,1000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-655.1349270_acc-0.24000_epoch-2,45.33,8e-05,1.3,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-655.1349270_acc-0.24000_epoch-2
3,600.6866303,0.23429,0.324,0.51,0.548,0.316,1000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-600.6866303_acc-0.23429_epoch-3,52.27,8e-05,1.3,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-600.6866303_acc-0.23429_epoch-3
4,568.4357519,0.21714,0.324,0.506,0.548,0.314,1000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-568.4357519_acc-0.21714_epoch-4,59.20,8e-05,1.3,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-568.4357519_acc-0.21714_epoch-4
5,542.9898739,0.22286,0.32,0.512,0.548,0.312,1000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-542.9898739_acc-0.22286_epoch-5,66.12,8e-05,1.3,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-542.9898739_acc-0.22286_epoch-5
6,521.9151206,0.22857,0.32,0.496,0.548,0.316,1000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-521.9151206_acc-0.22857_epoch-6,73.06,8e-05,1.3,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-521.9151206_acc-0.22857_epoch-6
7,505.7021857,0.24,0.324,0.508,0.55,0.312,1000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-505.7021857_acc-0.24000_epoch-7,79.99,8e-05,1.3,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-505.7021857_acc-0.24000_epoch-7
8,491.8336672,0.23429,0.324,0.514,0.552,0.312,1000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-491.8336672_acc-0.23429_epoch-8,84.76,8e-05,1.2,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-491.8336672_acc-0.23429_epoch-8
9,477.8128682,0.25714,0.318,0.514,0.55,0.31,1000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-477.8128682_acc-0.25714_epoch-9,89.47,8e-05,1.2,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-477.8128682_acc-0.25714_epoch-9
